Lambda eta1_abs eta2_abs xi1_abs xi2_abs
//TABLE Plates
0.55 0.14677E+00 0.19160E+01 0.35195E+00 0.99990E+00
1.35 0.47742E+02 0.65393E-02 0.14220E+00 0.95981E+00
2.25 0.94834E+01 0.26628E-01 0.22255E+00 0.77564E+00
2.75 0.27094E+01 0.47334E+00 0.16792E-02 0.55632E+00
3.0125 0.14044E+01 0.57591E-01 0.23544E+00 0.37456E-01
3.775 0.48187E+01 0.35216E+00 0.16117E-01 0.59088E+00
4.5 0.49015E+00 0.28564E+01 0.53851E-01 0.61923E+00
//TABLE Columns (wrong)
0.55 0.15338E+00 0.16933E+01 0.69737E-01 0.96468E+00
1.35 0.17644E+02 0.13025E+00 0.87710E+00 0.18042E+00
2.25 0.37956E+01 0.96097E-02 0.42420E-01 0.54575E+00
2.75 0.47225E+00 0.18236E+01 0.59386E-01 0.64645E+00
3.0125 0.11689E+01 0.89549E-01 0.22755E+00 0.89511E-01
3.775 0.28051E+00 0.23962E+01 0.85165E-01 0.79364E+00
4.5 0.18801E+01 0.13324E+00 0.86493E-01 0.47555E-01
//TABLE Hollow Columns
0.55 0.15338E+00 0.16933E+01 0.69737E-01 0.96468E+00
1.35 0.17644E+02 0.13025E+00 0.87710E+00 0.18042E+00
2.25 0.37956E+01 0.96097E-02 0.42420E-01 0.54575E+00
2.75 0.47225E+00 0.18236E+01 0.59386E-01 0.64645E+00
3.0125 0.11689E+01 0.89549E-01 0.22755E+00 0.89511E-01
3.775 0.28051E+00 0.23962E+01 0.85165E-01 0.79364E+00
4.5 0.18801E+01 0.13324E+00 0.86493E-01 0.47555E-01
//TABLE Planar Bullet Rosettes (wrong)
0.55 0.15338E+00 0.16933E+01 0.69737E-01 0.96468E+00
1.35 0.17644E+02 0.13025E+00 0.87710E+00 0.18042E+00
2.25 0.37956E+01 0.96097E-02 0.42420E-01 0.54575E+00
2.75 0.47225E+00 0.18236E+01 0.59386E-01 0.64645E+00
3.0125 0.11689E+01 0.89549E-01 0.22755E+00 0.89511E-01
3.775 0.28051E+00 0.23962E+01 0.85165E-01 0.79364E+00
4.5 0.18801E+01 0.13324E+00 0.86493E-01 0.47555E-01
//TABLE Spatial Bullet Rosettes
0.55 0.26821E-01 0.18551E+01 0.26124E-01 0.96730E+00
1.35 0.18964E+01 0.17429E+01 0.21235E-01 0.99128E+00
2.25 0.17673E+01 0.26111E+01 0.38069E+00 0.99990E+00
2.75 0.97388E+01 0.12102E+01 0.51606E-05 0.97168E+00
3.0125 0.78596E+00 0.44995E+01 0.19630E+00 0.34904E+00
3.775 0.30318E+01 0.86922E+00 0.94429E-01 0.47765E+00
4.5 0.25339E+01 0.84822E+00 0.80553E-01 0.40557E+00
//TABLE Aggregates (wrong)
0.55 0.26821E-01 0.18551E+01 0.26124E-01 0.96730E+00
1.35 0.18964E+01 0.17429E+01 0.21235E-01 0.99128E+00
2.25 0.17673E+01 0.26111E+01 0.38069E+00 0.99990E+00
2.75 0.97388E+01 0.12102E+01 0.51606E-05 0.97168E+00
3.0125 0.78596E+00 0.44995E+01 0.19630E+00 0.34904E+00
3.775 0.30318E+01 0.86922E+00 0.94429E-01 0.47765E+00
4.5 0.25339E+01 0.84822E+00 0.80553E-01 0.40557E+00
