Lambda xi1_g xi2_g xi3_g xi4_g xi5_g xi6_g xi7_g
//TABLE Plates
0.55 0.20448E-02 0.20591E-02 0.57074E+00 0.32972E-06 0.12479E-01 0.83350E+02 0.90694E+00
1.35 0.30775E-02 0.16725E-02 0.40038E+02 0.36048E-01 0.17852E-01 0.50084E+02 0.99900E+00
2.25 0.38376E-01 0.25859E+01 0.43717E+03 0.23714E-07 0.25783E-01 0.53019E-06 0.38908E+00
2.75 0.80754E-03 0.33571E+00 0.15345E-04 0.61660E-06 0.50058E-01 0.39183E+02 0.63132E+00
3.0125 0.95113E-02 0.13858E-02 0.18431E+00 0.11083E-04 0.23793E+00 0.52947E+01 0.92787E+00
3.775 0.98453E+00 0.38775E-02 0.18586E+02 0.22620E-01 0.42654E-01 0.16322E+02 0.99900E+00
4.5 0.15263E-01 0.22716E+00 0.13225E-03 0.26236E-04 0.44607E+00 0.20759E+01 0.55601E+00
//TABLE Column (wrong)
0.55 0.20448E-02 0.20591E-02 0.57074E+00 0.32972E-06 0.12479E-01 0.83350E+02 0.90694E+00
1.35 0.30775E-02 0.16725E-02 0.40038E+02 0.36048E-01 0.17852E-01 0.50084E+02 0.99900E+00
2.25 0.38376E-01 0.25859E+01 0.43717E+03 0.23714E-07 0.25783E-01 0.53019E-06 0.38908E+00
2.75 0.80754E-03 0.33571E+00 0.15345E-04 0.61660E-06 0.50058E-01 0.39183E+02 0.63132E+00
3.0125 0.95113E-02 0.13858E-02 0.18431E+00 0.11083E-04 0.23793E+00 0.52947E+01 0.92787E+00
3.775 0.98453E+00 0.38775E-02 0.18586E+02 0.22620E-01 0.42654E-01 0.16322E+02 0.99900E+00
4.5 0.15263E-01 0.22716E+00 0.13225E-03 0.26236E-04 0.44607E+00 0.20759E+01 0.55601E+00
//TABLE Hollow Columns
0.55 0.15362E+00 0.13909E-02 0.19732E+02 0.40084E-03 0.34831E-01 0.65524E+02 0.78314E+00
1.35 0.25771E+00 0.76743E-02 0.18480E+01 0.23262E-05 0.32736E+00 0.18271E+01 0.75776E+00
2.25 0.13750E+00 0.15537E-00 0.15356E+02 0.36577E-03 0.22000E+00 0.47508E+01 0.75897E+00
2.75 0.19130E-01 0.14711E+00 0.67418E+01 0.23382E-05 0.22097E+00 0.43622E+01 0.75569E+00
3.0125 0.79292E-05 0.63908E-06 0.29267E-01 0.28695E-03 0.31241E+00 0.31328E+01 0.93447E+00
3.775 0.13795E-03 0.14285E+00 0.11804E-01 0.44730E-01 0.69814E+00 0.16443E+01 0.57295E+00
4.5 0.35381E-06 0.79836E+00 0.13540E-03 0.47581E-01 0.15758E+00 0.57494E+01 0.66174E+00
//TABLE Planar Bullet Rosettes (wrong)
0.55 0.20448E-02 0.20591E-02 0.57074E+00 0.32972E-06 0.12479E-01 0.83350E+02 0.90694E+00
1.35 0.30775E-02 0.16725E-02 0.40038E+02 0.36048E-01 0.17852E-01 0.50084E+02 0.99900E+00
2.25 0.38376E-01 0.25859E+01 0.43717E+03 0.23714E-07 0.25783E-01 0.53019E-06 0.38908E+00
2.75 0.80754E-03 0.33571E+00 0.15345E-04 0.61660E-06 0.50058E-01 0.39183E+02 0.63132E+00
3.0125 0.95113E-02 0.13858E-02 0.18431E+00 0.11083E-04 0.23793E+00 0.52947E+01 0.92787E+00
3.775 0.98453E+00 0.38775E-02 0.18586E+02 0.22620E-01 0.42654E-01 0.16322E+02 0.99900E+00
4.5 0.15263E-01 0.22716E+00 0.13225E-03 0.26236E-04 0.44607E+00 0.20759E+01 0.55601E+00
//TABLE Spatial Bullet Rosettes
0.55 0.12204E+00 0.54639E-01 0.88668E+02 0.31560E-01 0.12300E-02 0.64531E-02 0.14475E-02
1.35 0.34070E+00 0.38056E-01 0.18301E-01 0.48322E-07 0.71173E+00 0.16197E+00 0.67979E+00
2.25 0.20778E+00 0.56144E-01 0.38977E+01 0.21007E-04 0.44792E+00 0.24215E+01 0.67033E+00
2.75 0.11018E-06 0.58455E-01 0.11393E-01 0.54108E-04 0.22956E+00 0.44495E+01 0.88437E+00
3.0125 0.91172E-02 0.13461E-05 0.40429E-03 0.15615E-01 0.45336E+00 0.21195E+01 0.94785E+00
3.775 0.20721E-05 0.12851E+00 0.43046E-02 0.32693E-01 0.10365E+01 0.80371E+00 0.56170E+00
4.5 0.60619E-01 0.74500E+00 0.20457E-05 0.11574E-05 0.15047E+00 0.69187E+01 0.57799E+00
//TABLE Aggregates (wrong)
0.55 0.20448E-02 0.20591E-02 0.57074E+00 0.32972E-06 0.12479E-01 0.83350E+02 0.90694E+00
1.35 0.30775E-02 0.16725E-02 0.40038E+02 0.36048E-01 0.17852E-01 0.50084E+02 0.99900E+00
2.25 0.38376E-01 0.25859E+01 0.43717E+03 0.23714E-07 0.25783E-01 0.53019E-06 0.38908E+00
2.75 0.80754E-03 0.33571E+00 0.15345E-04 0.61660E-06 0.50058E-01 0.39183E+02 0.63132E+00
3.0125 0.95113E-02 0.13858E-02 0.18431E+00 0.11083E-04 0.23793E+00 0.52947E+01 0.92787E+00
3.775 0.98453E+00 0.38775E-02 0.18586E+02 0.22620E-01 0.42654E-01 0.16322E+02 0.99900E+00
4.5 0.15263E-01 0.22716E+00 0.13225E-03 0.26236E-04 0.44607E+00 0.20759E+01 0.55601E+00
