lambda eta1_ext eta2_ext beta1 beta2 alpha xi_ext
//TABLE Plates
0.55 0.41890E-01 0.40439E+01 0.22722E+00 0.31234E-01 -0.40750E+01 0.82755E+00
1.35 0.10618E+01 0.52182E+00 0.97072E-01 0.47273E-01 0.76868E-03 0.14893E+00
2.25 0.12866E+01 0.50738E+00 0.39303E-01 0.19075E-01 -0.21648E+01 0.13132E+00
2.75 0.14324E+01 0.74296E+00 0.14501E+00 0.20455E+00 0.21712E+00 0.42856E+00
3.0125 0.14521E+01 0.10774E+00 0.14127E+01 0.13939E+01 -0.59832E+01 0.72604E-01
3.775 0.98633E+0 0.53963E+00 0.21786E+00 0.59807E-01 0.29540E+01 0.20277E+00
4.5 0.12389E+01 0.50363E+00 0.16522E+00 0.58000E-01 0.29697E+01 0.77213E-01
//TABLE Columns
0.55 0.25373E+01 0.21558E+00 0.97310E+00 0.20081E+00 -0.98615E+00 0.27887E+00
1.35 0.16186E+00 0.25742E+01 0.79274E+00 0.56535E-01 -0.85984E+00 0.99990E+00
2.25 0.10199E+01 0.28623E+01 0.16454E-03 0.43988E-01 -0.57863E-05 0.15782E+00
2.75 0.17026E+00 0.14263E+01 0.89380E+00 0.27667E+00 -0.37125E+00 0.96005E+00
3.0125 0.80116E+00 0.43079E-01 0.14767E+01 0.14362E+01 -0.31133E-04 0.34160E-01
3.775 0.11212E+01 0.13601E+01 0.21707E+00 0.93853E-01 0.19540E-01 0.38874E+00
4.5 0.38510E+00 0.13911E+01 0.67389E+00 0.19713E+00 -0.11563E+00 0.88671E+00
//TABLE Hollow Columns
0.55 0.24717E+00 0.25710E+00 0.11233E+01 0.10565E+00 0.52115E+01 0.69588E-01
1.35 0.11281E+01 0.45546E+00 0.13901E+01 0.37845E+00 0.37295E+01 0.51843E+00
2.25 0.71770E+00 0.18175E+01 0.93101E+00 0.10267E+00 -0.11705E+01 0.34331E+00
2.75 0.27673E+00 0.17398E+01 0.67365E+00 0.28731E+00 -0.52950E+00 0.72319E+00
3.0125 0.48118E-01 0.22686E+01 0.14929E+01 0.12544E+01 -0.91089E+00 0.85875E+00
3.775 0.39444E+00 0.84808E+01 0.11214E+01 0.26809E-01 0.56010E+01 0.44781E+00
4.5 0.34626E+00 0.46920E+01 0.76910E+00 0.13720E+00 -0.28792E+01 0.53933E+00
//TABLE Planar Bullet Rosettes
0.55 0.47601E+00 0.14059E+00 0.46345E+00 0.40848E+00 0.30208E+01 0.22249E+00
1.35 0.95264E+00 0.11236E+01 0.93517E-01 0.55081E-01 0.93615E+00 0.19110E+00
2.25 0.11237E+01 0.11941E+01 0.18702E+00 0.79970E-01 -0.14583E-01 0.37520E+00
2.75 0.14226E+01 0.11788E+01 0.35542E+00 0.20492E+00 0.59164E+01 0.70319E+00
3.0125 0.13495E+01 0.28093E-01 0.13953E+01 0.15075E+01 -0.10435E+01 0.60294E-01
3.775 0.12417E+01 0.11926E+01 0.18009E+00 0.11047E+00 -0.28203E-01 0.51154E+00
4.5 0.14225E+01 0.12125E+01 0.27511E+00 0.22896E+00 -0.20770E+00 0.75244E+00
//TABLE Spatial Bullet Rosettes
0.55 0.19639E+00 0.14100E+00 0.13262E+01 0.59117E+00 0.28365E+01 0.30732E+00
1.35 0.10060E+01 0.11566E+01 0.40929E+00 0.88402E-01 -0.16874E+00 0.32115E+00
2.25 0.17752E+00 0.11748E+01 0.13237E+01 0.19574E+00 0.61616E+01 0.73168E+00
2.75 0.22439E+00 0.10798E+01 0.62315E+00 0.34127E+00 0.62296E+01 0.93440E+00
3.0125 0.10521E+01 0.44727E-01 0.14357E+01 0.14705E+01 -0.10941E+01 0.67347E-01
3.775 0.10495E+01 0.11576E+01 0.26206E+00 0.12201E+00 -0.15485E+00 0.37465E+00
4.5 0.29168E+00 0.11604E+01 0.11522E+01 0.29101E+00 -0.19831E+00 0.83287E+00
//TABLE Aggregates
0.55 0.16841E+01 0.80549E+00 0.19499E+00 0.31503E+00 0.17246E+01 0.31014E+00
1.35 0.12330E+01 0.92600E+00 0.10124E+00 0.41218E+00 0.59337E+01 0.45786E+00
2.25 0.15399E+01 0.11183E+01 0.78411E-02 0.31519E+00 0.59374E+01 0.79442E+00
2.75 0.99594E+00 0.67082E-01 0.26889E+00 0.76534E+00 0.26688E-02 0.34230E-01
3.0125 0.12142E+01 0.13182E+00 0.14000E+01 0.13393E+01 -0.11291E+01 0.10159E+00
3.775 0.13440E+01 0.10800E+01 0.84415E-01 0.31149E+00 -0.26007E+00 0.67022E+00
4.5 0.99548E+00 0.22298E+01 0.21425E+00 0.15618E+00 -0.68980E+00 0.94093E-01
