Lambda eta1 eta2 eta3 xi0 xi1 xi2 xi3 zeta0 zeta1 zeta2 zeta3
3.08 23.33 10.85 0.95 0.834 18.58 15.16 6.33 0.916 83.92 91.93 27.88
3.20 25.53 9.31 10.35 0.832 41.95 37.19 1.41 0.940 72.16 79.20 27.08
3.33 9.46 1.94 12.39 0.904 60.88 62.99 64.88 0.970 17.78 21.47 5.55
3.50 37.59 14.56 6.22 1.025 5.93 27.76 19.02 0.987 16.31 23.16 4.29
3.80 31.26 10.62 22.28 1.050 2.96 61.78 51.09 0.982 29.66 38.26 19.17
4.10 10.68 2.15 19.56 1.071 7.70 54.25 139.20 0.995 44.97 54.27 33.96
4.30 20.33 6.88 24.08 1.057 8.10 39.98 71.11 0.995 28.33 35.39 6.95
4.50 21.79 7.25 27.17 1.034 11.99 32.21 82.69 0.995 42.08 48.19 28.41
4.75 49.97 19.35 45.48 1.056 4.00 38.82 15.15 0.987 20.60 26.14 2.69
5.00 60.09 23.60 62.69 1.064 5.68 53.39 132.49 0.987 21.24 27.13 2.30
5.30 45.07 18.15 59.14 1.070 5.90 48.59 104.57 0.987 24.34 30.22 2.13
5.60 57.53 24.60 88.00 1.046 3.84 29.60 11.76 0.995 53.28 59.95 30.08
6.00 97.06 44.73 144.00 1.018 17.02 28.85 78.68 0.985 29.00 32.20 18.62
6.40 75.49 33.00 121.86 1.012 14.44 27.00 74.66 0.998 54.43 60.00 36.88
6.80 99.72 44.46 168.53 1.028 6.07 20.79 11.08 0.998 54.56 60.46 37.20
7.20 95.59 42.37 184.14 1.019 6.56 21.93 27.95 0.985 29.53 33.67 20.00
7.70 99.29 44.63 234.49 1.046 14.52 33.89 124.18 0.995 44.53 50.83 28.78
8.00 99.72 44.72 257.19 1.056 8.68 31.90 70.58 0.995 45.80 52.65 28.74
8.50 99.00 44.51 358.12 1.064 6.30 35.08 66.37 0.995 50.22 57.69 31.32
9.00 99.77 44.99 472.22 1.072 7.29 35.77 82.92 0.995 45.52 52.11 29.00
9.50 94.29 42.56 611.35 1.066 4.71 32.79 45.55 0.987 37.01 41.58 28.94
10.00 88.50 39.59 936.09 1.111 5.45 36.94 23.67 0.995 76.35 81.21 83.90
10.50 99.04 52.15 1250.54 1.073 9.97 28.43 41.74 0.991 91.30 93.51 121.69
10.80 91.55 57.10 680.44 1.033 27.33 38.10 97.29 0.996 39.97 42.69 53.09
11.20 7.39 11.92 14.14 0.953 67.55 70.43 131.93 0.988 37.72 42.24 47.94
11.80 87.80 46.59 193.12 0.870 83.12 77.94 95.58 0.975 24.01 29.11 25.23
12.20 85.22 43.54 149.15 0.855 81.19 73.30 87.29 0.960 7.84 11.54 3.11
13.00 99.37 47.04 155.60 0.838 81.86 71.83 111.61 0.958 8.84 13.26 2.81
14.00 98.47 42.51 193.18 0.858 92.50 83.58 229.23 0.981 41.54 50.97 56.52
15.00 99.86 40.78 260.59 0.919 92.00 89.95 476.70 0.985 23.56 31.79 24.97
16.20 99.18 39.70 392.39 0.960 91.32 94.27 891.45 0.994 35.96 45.71 57.28
17.50 98.89 38.33 492.45 0.965 91.98 98.24 1382.35 0.988 15.35 23.94 5.24
18.80 99.32 36.59 707.69 0.945 72.08 77.54 1887.23 0.995 13.81 22.53 5.77
20.00 88.31 31.76 730.02 0.946 60.81 68.44 1901.77 0.987 13.12 21.77 8.19
21.50 47.62 13.38 677.86 0.953 25.87 56.40 1765.68 0.990 17.87 29.40 7.34
23.00 30.71 4.86 761.98 0.965 13.00 65.21 1426.66 0.979 16.59 26.83 16.42
26.00 31.47 0.06 1194.78 0.980 17.12 68.37 1688.58 0.982 43.75 55.52 136.15
30.00 29.73 0.17 1597.60 0.982 30.86 58.80 1933.24 0.973 90.60 97.75 409.89
35.00 52.95 26.32 1999.19 1.060 65.56 82.57 1889.06 0.985 5.50 8.73 49.00
40.00 98.78 55.69 1728.50 1.028 89.13 94.47 1092.92 0.972 6.00 10.66 68.89
46.70 99.19 43.76 859.98 0.859 98.72 81.39 531.13 0.871 80.12 84.14 1024.19
52.00 99.88 34.46 1300.18 0.887 94.55 74.79 993.58 0.901 31.85 36.35 490.39
55.00 92.68 24.16 1559.57 0.845 97.81 69.00 1597.60 0.933 4.24 12.17 99.76
57.20 54.06 7.01 1545.60 0.865 69.35 45.75 1910.65 0.919 16.82 22.22 271.70
60.00 84.26 25.10 1878.09 0.880 94.93 70.12 1923.60 0.914 15.74 19.62 278.05
65.00 99.57 27.83 1841.84 0.864 99.35 70.72 1668.81 0.920 6.37 13.58 163.96
75.00 54.56 0.10 1884.74 0.840 43.21 15.27 1917.51 0.911 0.45 8.56 49.79
88.00 48.06 0.07 1998.92 0.881 13.24 5.67 1770.26 0.886 10.69 19.52 146.24
99.99 37.09 0.08 1994.25 0.920 8.51 15.65 1883.37 0.917 72.84 95.96 665.96
